Generacion:11 | Hora:[10, 27, 52] | Puntuacion:0.8151000142097473
Generacion:11 | Hora:[10, 55, 56] | Puntuacion:0.8119999766349792
Generacion:11 | Hora:[11, 30, 21] | Puntuacion:0.796999990940094
Generacion:11 | Hora:[11, 47, 29] | Puntuacion:0.8184999823570251
Generacion:11 | Hora:[11, 59, 10] | Puntuacion:0.8116000294685364
Generacion:11 | Hora:[12, 10, 56] | Puntuacion:0.8137999773025513
Generacion:11 | Hora:[12, 49, 38] | Puntuacion:0.8188999891281128
Generacion:11 | Hora:[13, 29, 44] | Puntuacion:0.10000000149011612
Generacion:11 | Hora:[13, 42, 59] | Puntuacion:0.819599986076355
Generacion:11 | Hora:[13, 58, 43] | Puntuacion:0.10000000149011612
Generacion:11 | Hora:[14, 22, 23] | Puntuacion:0.8172000050544739
Generacion:11 | Hora:[14, 40, 57] | Puntuacion:0.8082000017166138
Generacion:11 | Hora:[15, 10, 8] | Puntuacion:0.10000000149011612
Generacion:12 | Hora:[15, 34, 33] | Puntuacion:0.815500020980835
Generacion:12 | Hora:[15, 49, 10] | Puntuacion:0.8181999921798706
Generacion:12 | Hora:[16, 1, 2] | Puntuacion:0.10000000149011612
Generacion:12 | Hora:[16, 25, 22] | Puntuacion:0.8202000260353088
Generacion:12 | Hora:[16, 43, 47] | Puntuacion:0.822700023651123
Generacion:12 | Hora:[16, 56, 8] | Puntuacion:0.8240000009536743
Generacion:12 | Hora:[17, 37, 32] | Puntuacion:0.7803000211715698
Generacion:12 | Hora:[17, 57, 31] | Puntuacion:0.8184000253677368
Generacion:12 | Hora:[18, 20, 4] | Puntuacion:0.817799985408783
Generacion:12 | Hora:[18, 30, 5] | Puntuacion:0.8215000033378601
Generacion:12 | Hora:[18, 49, 22] | Puntuacion:0.801800012588501
Generacion:12 | Hora:[19, 19, 59] | Puntuacion:0.8320000171661377
Generacion:12 | Hora:[19, 35, 43] | Puntuacion:0.8165000081062317
Generacion:12 | Hora:[19, 58, 14] | Puntuacion:0.8259999752044678
Generacion:12 | Hora:[20, 18, 47] | Puntuacion:0.8033999800682068
Generacion:12 | Hora:[20, 26, 46] | Puntuacion:0.8210999965667725
Generacion:12 | Hora:[21, 19, 1] | Puntuacion:0.8134999871253967
Generacion:12 | Hora:[21, 34, 16] | Puntuacion:0.8198000192642212
Generacion:12 | Hora:[21, 38, 47] | Puntuacion:0.10000000149011612
Generacion:12 | Hora:[22, 1, 12] | Puntuacion:0.8216999769210815
Generacion:12 | Hora:[22, 19, 46] | Puntuacion:0.8217999935150146
Generacion:12 | Hora:[23, 4, 11] | Puntuacion:0.8246999979019165
Generacion:12 | Hora:[23, 55, 30] | Puntuacion:0.8113999962806702
Generacion:12 | Hora:[0, 15, 52] | Puntuacion:0.8072999715805054
Generacion:12 | Hora:[0, 32, 40] | Puntuacion:0.8158000111579895
Generacion:12 | Hora:[0, 56, 37] | Puntuacion:0.8173999786376953
Generacion:12 | Hora:[1, 6, 58] | Puntuacion:0.809499979019165
Generacion:12 | Hora:[1, 16, 25] | Puntuacion:0.8156999945640564
Generacion:13 | Hora:[1, 26, 49] | Puntuacion:0.8070999979972839
Generacion:13 | Hora:[1, 38, 43] | Puntuacion:0.8266000151634216
Generacion:13 | Hora:[1, 59, 6] | Puntuacion:0.8115000128746033
Generacion:13 | Hora:[2, 15, 18] | Puntuacion:0.8201000094413757
Generacion:13 | Hora:[2, 30, 35] | Puntuacion:0.7954000234603882
Generacion:13 | Hora:[2, 57, 42] | Puntuacion:0.8184000253677368
Generacion:13 | Hora:[3, 17, 24] | Puntuacion:0.8215000033378601
Generacion:13 | Hora:[3, 30, 37] | Puntuacion:0.8154000043869019
Generacion:13 | Hora:[3, 44, 50] | Puntuacion:0.8126000165939331
Generacion:13 | Hora:[4, 23, 35] | Puntuacion:0.810699999332428
Generacion:13 | Hora:[4, 56, 33] | Puntuacion:0.822700023651123
Generacion:13 | Hora:[5, 40, 36] | Puntuacion:0.8198000192642212
Generacion:13 | Hora:[6, 11, 59] | Puntuacion:0.8281000256538391
Generacion:13 | Hora:[6, 35, 4] | Puntuacion:0.10000000149011612
Generacion:13 | Hora:[6, 53, 17] | Puntuacion:0.8014000058174133
Generacion:13 | Hora:[7, 6, 15] | Puntuacion:0.8248000144958496
Generacion:13 | Hora:[7, 13, 34] | Puntuacion:0.7867000102996826
Generacion:13 | Hora:[8, 3, 6] | Puntuacion:0.8144999742507935
Generacion:13 | Hora:[8, 27, 43] | Puntuacion:0.8126000165939331
Generacion:13 | Hora:[8, 48, 53] | Puntuacion:0.8205000162124634
Generacion:13 | Hora:[9, 0, 14] | Puntuacion:0.8202000260353088
Generacion:13 | Hora:[9, 19, 11] | Puntuacion:0.8098000288009644
Generacion:13 | Hora:[9, 56, 6] | Puntuacion:0.8226000070571899
Generacion:13 | Hora:[10, 51, 33] | Puntuacion:0.8001999855041504
Generacion:14 | Hora:[11, 6, 57] | Puntuacion:0.8226000070571899
Generacion:14 | Hora:[11, 38, 57] | Puntuacion:0.8151999711990356
Generacion:14 | Hora:[11, 54, 35] | Puntuacion:0.8224999904632568
