Generacion:11 | Hora:[13, 56, 53] | Puntuacion:0.43209999799728394
Generacion:11 | Hora:[14, 25, 6] | Puntuacion:0.4903999865055084
Generacion:11 | Hora:[14, 43, 13] | Puntuacion:0.385699987411499
Generacion:11 | Hora:[14, 58, 4] | Puntuacion:0.4325000047683716
Generacion:11 | Hora:[15, 5, 1] | Puntuacion:0.4415999948978424
Generacion:11 | Hora:[15, 27, 9] | Puntuacion:0.4544999897480011
Generacion:11 | Hora:[15, 42, 13] | Puntuacion:0.4578999876976013
Generacion:11 | Hora:[16, 0, 25] | Puntuacion:0.47049999237060547
Generacion:11 | Hora:[16, 5, 45] | Puntuacion:0.009999999776482582
Generacion:11 | Hora:[16, 35, 21] | Puntuacion:0.38029998540878296
Generacion:11 | Hora:[17, 52, 25] | Puntuacion:0.33649998903274536
Generacion:11 | Hora:[18, 15, 44] | Puntuacion:0.3612000048160553
Generacion:11 | Hora:[18, 29, 12] | Puntuacion:0.46790000796318054
Generacion:11 | Hora:[18, 49, 33] | Puntuacion:0.4542999863624573
Generacion:11 | Hora:[19, 6, 14] | Puntuacion:0.4505999982357025
Generacion:11 | Hora:[19, 18, 11] | Puntuacion:0.3837999999523163
Generacion:11 | Hora:[19, 38, 1] | Puntuacion:0.4424999952316284
Generacion:11 | Hora:[19, 51, 8] | Puntuacion:0.4316999912261963
Generacion:11 | Hora:[20, 9, 52] | Puntuacion:0.4521999955177307
Generacion:11 | Hora:[20, 30, 1] | Puntuacion:0.48260000348091125
Generacion:11 | Hora:[20, 40, 42] | Puntuacion:0.41769999265670776
Generacion:11 | Hora:[21, 12, 6] | Puntuacion:0.5042999982833862
Generacion:12 | Hora:[21, 12, 17] | Puntuacion:0
Generacion:12 | Hora:[21, 12, 27] | Puntuacion:0
Generacion:12 | Hora:[21, 12, 38] | Puntuacion:0
Generacion:12 | Hora:[21, 18, 56] | Puntuacion:0.3978999853134155
Generacion:12 | Hora:[21, 51, 35] | Puntuacion:0.489300012588501
Generacion:12 | Hora:[22, 16, 16] | Puntuacion:0.4388999938964844
Generacion:12 | Hora:[22, 31, 2] | Puntuacion:0.4672999978065491
Generacion:12 | Hora:[23, 3, 12] | Puntuacion:0.49129998683929443
Generacion:12 | Hora:[23, 22, 48] | Puntuacion:0.4973999857902527
Generacion:12 | Hora:[23, 40, 6] | Puntuacion:0.4814999997615814
Generacion:12 | Hora:[23, 58, 30] | Puntuacion:0.47850000858306885
Generacion:12 | Hora:[0, 33, 44] | Puntuacion:0.4499000012874603
Generacion:12 | Hora:[0, 49, 13] | Puntuacion:0.4884999990463257
Generacion:12 | Hora:[1, 23, 42] | Puntuacion:0.32580000162124634
Generacion:12 | Hora:[1, 47, 28] | Puntuacion:0.459199994802475
Generacion:12 | Hora:[2, 0, 40] | Puntuacion:0.4724999964237213
Generacion:12 | Hora:[2, 14, 10] | Puntuacion:0.5232999920845032
Generacion:12 | Hora:[2, 31, 35] | Puntuacion:0.4717000126838684
Generacion:12 | Hora:[2, 47, 27] | Puntuacion:0.4417000114917755
Generacion:12 | Hora:[3, 0, 50] | Puntuacion:0.4399000108242035
Generacion:12 | Hora:[3, 14, 53] | Puntuacion:0.44850000739097595
Generacion:12 | Hora:[3, 26, 31] | Puntuacion:0.4957999885082245
Generacion:12 | Hora:[3, 49, 39] | Puntuacion:0.46950000524520874
Generacion:12 | Hora:[4, 20, 57] | Puntuacion:0.5278000235557556
Generacion:12 | Hora:[4, 35, 1] | Puntuacion:0.4429999887943268
Generacion:12 | Hora:[4, 49, 35] | Puntuacion:0.4560000002384186
Generacion:13 | Hora:[5, 18, 24] | Puntuacion:0.43939998745918274
Generacion:13 | Hora:[5, 35, 28] | Puntuacion:0.4603999853134155
Generacion:13 | Hora:[5, 53, 20] | Puntuacion:0.4900999963283539
Generacion:13 | Hora:[6, 12, 5] | Puntuacion:0.4747999906539917
Generacion:13 | Hora:[6, 36, 54] | Puntuacion:0.4593000113964081
Generacion:13 | Hora:[6, 58, 29] | Puntuacion:0.49149999022483826
Generacion:13 | Hora:[7, 9, 50] | Puntuacion:0.4763000011444092
Generacion:13 | Hora:[7, 26, 47] | Puntuacion:0.5196999907493591
Generacion:13 | Hora:[7, 48, 59] | Puntuacion:0.4964999854564667
Generacion:13 | Hora:[8, 18, 26] | Puntuacion:0.5120000243186951
Generacion:13 | Hora:[8, 32, 29] | Puntuacion:0.4417000114917755
Generacion:13 | Hora:[8, 47, 39] | Puntuacion:0.5062999725341797
Generacion:13 | Hora:[9, 13, 35] | Puntuacion:0.48500001430511475
Generacion:13 | Hora:[9, 44, 32] | Puntuacion:0.4869999885559082
Generacion:13 | Hora:[9, 54, 31] | Puntuacion:0.4699999988079071
Generacion:13 | Hora:[10, 11, 10] | Puntuacion:0.5023999810218811
Generacion:13 | Hora:[10, 26, 52] | Puntuacion:0.5083000063896179
Generacion:13 | Hora:[10, 59, 55] | Puntuacion:0.517300009727478
Generacion:13 | Hora:[11, 16, 20] | Puntuacion:0.49970000982284546
Generacion:13 | Hora:[11, 32, 7] | Puntuacion:0.4912000000476837
Generacion:13 | Hora:[11, 43, 51] | Puntuacion:0.4977000057697296
Generacion:13 | Hora:[12, 7, 12] | Puntuacion:0.44699999690055847
Generacion:13 | Hora:[12, 25, 39] | Puntuacion:0.4959999918937683
Generacion:13 | Hora:[13, 16, 46] | Puntuacion:0.5044000148773193
Generacion:13 | Hora:[13, 30, 41] | Puntuacion:0.4814000129699707
Generacion:13 | Hora:[13, 46, 19] | Puntuacion:0.4848000109195709
Generacion:13 | Hora:[13, 55, 19] | Puntuacion:0.48539999127388
